student_id,physics_marks,math_marks,english_marks,average_marks,time_physics_pct,time_math_pct,time_english_pct,number_of_attempts,university_choices,admission_status,admitted_university,preferred_field,region_preference,university_difficulty_index
ST00001,37.9,98.6,31.4,66.95,1.0,0.889,1.0,3,"['COMSATS', 'FAST', 'GIKI']",Yes,COMSATS,CS,GB,6.0
ST00002,41.0,64.3,37.1,51.87,0.953,1.0,1.0,1,"['GIKI', 'FAST', 'COMSATS']",Yes,GIKI,CS,Balochistan,7.8
ST00003,44.2,76.4,20.1,52.26,1.0,0.739,1.0,3,"['FAST', 'UET', 'GIKI']",No,None,Engineering,Balochistan,6.0
ST00004,25.9,52.7,30.2,37.0,1.0,0.848,0.977,2,['COMSATS'],No,None,Business,Punjab,6.0
ST00005,33.0,89.0,28.3,60.06,0.948,1.0,0.94,3,"['GIKI', 'NUST', 'COMSATS']",Yes,GIKI,CS,Punjab,7.8
ST00006,32.1,69.8,28.6,42.36,0.999,1.0,0.894,1,['NUST'],Yes,NUST,Medicine,GB,7.0
ST00007,29.7,81.3,26.3,44.16,1.0,0.873,1.0,2,['NUST'],No,None,Medicine,Balochistan,7.0
ST00008,28.2,98.1,29.1,63.33,1.0,1.0,1.0,1,"['COMSATS', 'GIKI', 'NUST']",Yes,COMSATS,CS,KPK,6.0
ST00009,28.6,81.1,15.7,52.27,0.842,0.899,1.0,3,"['NUST', 'GIKI', 'FAST']",No,None,CS,GB,7.0
ST00010,35.0,81.2,25.6,56.22,1.0,0.946,0.961,2,"['GIKI', 'COMSATS', 'NUST']",Yes,GIKI,CS,KPK,7.8
ST00011,35.6,92.7,36.7,53.06,1.0,1.0,1.0,3,['NUST'],No,None,Medicine,Punjab,7.0
ST00012,27.8,85.5,17.9,54.67,1.0,1.0,1.0,3,"['NUST', 'COMSATS', 'FAST']",Yes,NUST,CS,Balochistan,7.0
ST00013,32.8,46.1,30.4,36.49,0.91,1.0,1.0,3,['COMSATS'],No,None,Business,Sindh,6.0
ST00014,35.3,72.8,27.6,52.51,1.0,1.0,1.0,1,"['COMSATS', 'NUST', 'GIKI']",Yes,COMSATS,CS,Punjab,6.0
ST00015,54.3,70.8,32.9,52.83,0.994,0.96,0.858,3,['NUST'],Yes,NUST,Medicine,Punjab,7.0
ST00016,34.6,71.3,27.7,44.68,1.0,1.0,0.948,2,['COMSATS'],Yes,COMSATS,Business,Punjab,6.0
