physics_marks,math_marks,english_marks,total_score
81,94,32,207
44,67,70,181
90,40,64,194
50,39,79,168
53,88,59,200
32,84,99,215
51,49,83,183
82,46,80,208
31,97,57,185
59,34,93,186
67,89,50,206
31,52,56,139
93,75,56,224
89,81,79,249
50,39,58,147
62,75,68,205
87,57,86,230
51,72,66,189
78,55,93,226
88,84,77,249
71,77,51,199
89,58,59,206
44,56,57,157
91,47,52,190
91,89,33,213
76,98,32,206
91,50,90,231
80,53,33,166
84,32,94,210
93,91,41,225
32,31,42,105
80,95,63,238
36,71,88,195
50,63,60,173
68,71,42,181
47,49,83,179
33,97,31,161
89,74,62,225
43,71,79,193
38,76,36,150
82,34,47,163
31,78,80,189
89,66,37,192
73,63,84,220
37,99,72,208
76,47,88,211
64,48,59,171
65,69,88,222
79,46,38,163
33,89,97,219
31,71,68,170
35,94,40,169
83,82,31,196
33,36,52,121
83,34,92,209
92,53,51,196
47,57,90,194
73,91,55,219
63,46,41,150
91,49,61,201
43,32,38,113
77,66,98,241
44,44,62,150
91,80,53,224
69,77,98,244
82,37,67,186
53,42,40,135
55,77,61,193
89,32,93,214
70,94,49,213
58,60,63,181
44,55,71,170
74,85,37,196
94,63,95,252
38,38,50,126
30,91,99,220
37,42,34,113
92,98,96,286
40,70,72,182
37,30,45,112
64,76,64,204
64,33,72,169
62,92,68,222
34,81,39,154
70,39,49,158
57,57,30,144
36,35,35,106
41,56,82,179
63,41,75,179
62,91,95,248
77,81,67,225
52,77,62,191
91,96,96,283
66,75,64,205
73,44,74,191
64,65,51,180
94,43,97,234
76,32,46,154
32,96,34,162
30,48,86,164
34,83,69,186
43,98,59,200
56,39,71,166
38,62,36,136
44,42,48,134
71,80,70,221
80,61,63,204
92,53,51,196
81,64,81,226
33,99,35,167
52,69,54,175
44,83,95,222
72,73,39,184
58,91,55,204
65,97,34,196
42,62,97,201
61,85,79,225
88,65,46,199
57,83,40,180
95,48,82,225
71,72,79,222
74,41,37,152
91,40,91,222
86,99,58,243
35,41,73,149
57,70,74,201
57,54,58,169
73,32,88,193
59,32,44,135
91,57,99,247
91,52,73,216
30,77,65,172
56,96,86,238
91,71,93,255
32,69,67,168
99,35,46,180
56,49,56,161
38,40,46,124
91,56,92,239
66,50,40,156
80,42,93,215
73,64,68,205
53,76,31,160
88,57,95,240
61,50,83,194
81,47,58,186
91,60,74,225
87,89,60,236
81,66,78,225
41,50,38,129
68,43,56,167
31,89,85,205
32,52,74,158
85,58,72,215
88,76,51,215
31,59,62,152
31,67,56,154
83,56,69,208
30,44,55,129
48,88,74,210
31,32,74,137
82,39,55,176
73,46,99,218
61,40,96,197
99,77,35,211
61,34,57,152
97,98,96,291
84,93,42,219
85,43,92,220
46,79,42,167
67,55,30,152
53,98,69,220
98,36,66,200
99,45,60,204
40,84,46,170
45,85,38,168
88,33,93,214
99,77,86,262
32,46,42,120
49,65,66,180
88,99,43,230
65,67,54,186
48,91,86,225
96,77,71,244
48,39,71,158
49,65,76,190
81,58,73,212
62,33,70,165
69,73,32,174
68,85,30,183
30,71,40,141
40,42,36,118
86,75,41,202
79,62,67,208
52,50,83,185
60,86,96,242
71,98,82,251
36,99,61,196
45,96,74,215
89,77,80,246
31,62,66,159
30,65,88,183
77,62,83,222
41,60,47,148
98,50,30,178
66,56,50,172
61,91,57,209
38,55,45,138
48,95,77,220
77,41,57,175
32,51,51,134
49,46,30,125
53,36,71,160
83,97,99,279
62,66,32,160
53,67,73,193
65,40,56,161
67,30,80,177
54,54,53,161
47,71,49,167
95,81,61,237
83,53,42,178
64,82,72,218
90,85,49,224
70,92,31,193
62,37,97,196
97,88,89,274
62,74,33,169
43,56,46,145
50,81,30,161
77,47,62,186
49,45,59,153
37,95,34,166
36,34,41,111
96,32,61,189
46,99,67,212
62,36,46,144
77,79,87,243
88,43,69,200
51,67,53,171
59,76,41,176
67,62,48,177
80,72,58,210
83,58,81,222
37,86,46,169
56,34,50,140
56,89,89,234
50,99,49,198
59,31,82,172
57,99,92,248
93,72,86,251
98,33,58,189
90,85,30,205
77,88,88,253
48,38,93,179
33,32,73,138
64,77,77,218
93,72,44,209
78,30,64,172
46,86,52,184
73,82,82,237
59,45,74,178
75,80,42,197
35,84,63,182
66,30,67,163
53,57,99,209
75,82,97,254
82,87,34,203
89,89,69,247
92,88,99,279
61,51,50,162
62,37,57,156
96,78,32,206
47,71,52,170
54,56,48,158
83,68,79,230
87,54,87,228
96,67,49,212
75,53,82,210
53,53,38,144
61,89,33,183
76,79,70,225
52,95,54,201
95,43,63,201
56,82,38,176
31,61,42,134
46,77,38,161
62,68,33,163
38,69,63,170
72,71,36,179
77,37,44,158
68,55,67,190
71,41,81,193
55,72,36,163
79,80,74,233
54,92,88,234
53,78,50,181
42,56,57,155
89,38,32,159
36,68,43,147
86,94,31,211
65,36,58,159
74,96,47,217
49,39,66,154
94,82,74,250
37,86,74,197
45,56,53,154
43,83,75,201
44,33,41,118
95,52,82,229
61,77,74,212
92,71,61,224
80,32,47,159
54,32,42,128
87,57,33,177
92,92,52,236
91,60,91,242
51,39,83,173
87,78,84,249
87,50,98,235
78,82,69,229
81,83,43,207
71,86,57,214
99,49,96,244
44,78,58,180
83,36,90,209
89,58,97,244
37,77,38,152
82,42,46,170
89,32,78,199
34,31,92,157
97,45,75,217
35,35,42,112
76,74,74,224
84,34,82,200
69,85,46,200
81,61,76,218
45,78,91,214
42,42,79,163
59,59,72,190
48,54,97,199
46,89,57,192
92,88,74,254
48,57,70,175
87,87,65,239
84,49,62,195
91,63,54,208
52,34,48,134
38,89,76,203
41,72,62,175
30,86,96,212
87,86,43,216
30,83,62,175
63,74,71,208
77,66,94,237
30,77,76,183
45,83,64,192
90,77,61,228
93,35,84,212
92,63,83,238
98,92,80,270
51,77,88,216
96,52,43,191
55,42,47,144
45,76,84,205
80,73,85,238
86,61,78,225
58,55,89,202
98,82,82,262
76,43,35,154
91,81,99,271
98,65,37,200
45,37,44,126
77,69,55,201
68,51,68,187
62,45,32,139
52,89,86,227
39,89,39,167
98,39,32,169
63,54,75,192
81,60,51,192
39,50,96,185
48,62,94,204
87,60,48,195
30,50,91,171
98,65,86,249
33,94,42,169
45,33,45,123
53,97,45,195
31,33,81,145
61,38,70,169
53,59,77,189
41,74,68,183
79,33,42,154
64,98,33,195
62,52,72,186
62,45,75,182
90,51,76,217
80,77,82,239
72,91,54,217
41,89,70,200
96,34,32,162
94,36,42,172
62,80,47,189
69,94,66,229
72,38,72,182
73,74,63,210
58,76,84,218
42,96,81,219
41,53,65,159
75,39,83,197
31,77,88,196
64,64,81,209
37,83,48,168
55,45,41,141
63,82,40,185
36,69,77,182
97,49,45,191
87,98,76,261
58,74,96,228
65,35,60,160
50,98,37,185
65,78,90,233
39,68,73,180
53,31,79,163
93,68,64,225
78,50,90,218
65,69,84,218
53,83,95,231
52,41,43,136
91,66,33,190
66,67,46,179
41,44,98,183
84,36,53,173
42,79,78,199
52,94,84,230
59,96,52,207
46,73,41,160
91,60,40,191
42,72,58,172
88,77,91,256
48,90,82,220
78,39,77,194
41,58,95,194
90,77,77,244
48,91,88,227
38,42,86,166
57,73,32,162
81,76,61,218
45,93,37,175
98,82,59,239
41,73,44,158
54,57,84,195
81,31,67,179
82,86,44,212
52,86,59,197
45,63,75,183
86,87,93,266
68,81,55,204
82,58,96,236
71,64,65,200
87,77,60,224
68,62,69,199
43,38,75,156
34,77,71,182
64,96,47,207
47,65,65,177
38,73,79,190
87,89,90,266
46,92,69,207
36,34,32,102
75,69,36,180
42,48,60,150
69,76,94,239
71,94,93,258
38,96,32,166
79,47,64,190
56,79,44,179
95,59,50,204
34,95,91,220
58,34,57,149
66,71,33,170
67,34,42,143
37,79,80,196
94,87,77,258
46,37,68,151
74,60,96,230
33,41,87,161
65,50,31,146
99,91,54,244
60,62,40,162
48,55,30,133
90,69,77,236
83,94,77,254
68,88,39,195
48,44,59,151
68,30,64,162
96,40,48,184
74,84,82,240
42,31,63,136
87,94,61,242
49,73,35,157
90,45,42,177
68,51,93,212
30,47,36,113
32,76,74,182
91,59,74,224
92,39,94,225
54,87,48,189
85,91,76,252
62,35,75,172
67,96,58,221
35,70,90,195
87,72,94,253
73,47,52,172
74,87,80,241
61,89,92,242
74,56,51,181
90,97,62,249
76,51,73,200
50,53,36,139
65,69,31,165
48,95,46,189
49,69,94,212
86,35,87,208
47,47,59,153
76,59,55,190
78,50,64,192
43,91,92,226
44,39,57,140
60,42,54,156
30,38,90,158
83,97,60,240
32,68,83,183
45,53,96,194
86,63,80,229
41,90,87,218
45,70,63,178
53,34,88,175
57,79,50,186
37,33,85,155
65,80,66,211
37,81,93,211
87,68,48,203
89,37,82,208
79,74,92,245
57,57,91,205
70,56,48,174
93,94,31,218
56,63,35,154
92,91,58,241
46,91,70,207
62,67,80,209
58,55,34,147
42,53,70,165
75,68,91,234
64,50,59,173
35,76,91,202
98,77,56,231
76,42,79,197
54,32,81,167
95,61,78,234
39,64,91,194
85,48,89,222
59,43,83,185
34,77,34,145
62,97,38,197
94,74,63,231
47,48,65,160
78,93,49,220
40,95,92,227
55,95,96,246
92,74,59,225
88,96,98,282
56,98,99,253
78,32,32,142
62,67,78,207
30,71,71,172
50,69,53,172
84,79,73,236
35,64,30,129
98,53,83,234
34,46,81,161
32,69,65,166
82,95,67,244
52,73,73,198
82,52,76,210
66,35,58,159
46,95,80,221
30,50,70,150
80,64,93,237
74,58,77,209
33,36,51,120
91,82,46,219
94,66,34,194
61,52,90,203
63,37,35,135
68,77,82,227
55,39,46,140
63,53,88,204
83,76,68,227
32,82,83,197
79,68,77,224
41,96,66,203
94,95,77,266
83,35,97,215
34,50,56,140
86,65,56,207
46,32,92,170
76,71,81,228
52,74,76,202
43,73,50,166
95,62,86,243
80,89,71,240
67,99,77,243
93,55,56,204
67,50,62,179
79,31,64,174
59,76,45,180
80,59,65,204
92,56,95,243
81,49,85,215
67,79,46,192
59,52,49,160
80,42,37,159
34,33,47,114
58,43,47,148
33,49,47,129
39,42,31,112
85,32,80,197
46,76,39,161
46,32,43,121
98,30,55,183
63,53,76,192
35,64,59,158
82,43,85,210
95,96,71,262
72,42,33,147
52,76,40,168
84,79,53,216
45,55,96,196
37,32,66,135
33,80,31,144
33,69,41,143
85,97,50,232
54,65,98,217
96,80,93,269
96,30,97,223
56,62,72,190
61,36,83,180
79,81,91,251
90,40,41,171
80,56,30,166
48,43,62,153
50,75,93,218
34,39,97,170
71,53,43,167
90,90,43,223
51,47,38,136
50,38,55,143
99,46,78,223
30,87,46,163
34,42,97,173
41,79,89,209
75,35,32,142
63,80,54,197
78,65,50,193
74,54,41,169
56,40,83,179
55,73,30,158
76,43,30,149
85,58,74,217
92,79,75,246
77,34,77,188
90,98,36,224
55,86,39,180
65,55,44,164
30,35,69,134
37,45,40,122
81,89,85,255
76,41,75,192
85,32,74,191
43,92,42,177
57,93,56,206
31,91,79,201
55,35,90,180
43,48,42,133
88,47,41,176
85,72,58,215
36,32,49,117
32,67,60,159
52,97,37,186
47,73,53,173
67,92,68,227
44,71,62,177
93,93,71,257
57,83,44,184
68,66,97,231
86,33,94,213
46,31,61,138
